Date,Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Action,Duration,Sent Bytes,Received Bytes,Sent Packets,Received Packets,Application,Application Category,Policy Name,Shaping Policy Name,Class
2023-11-07,1900-01-01 19:07:25,4,13,2790,443,0,1,42,505,1560,10,7,18,10,0,0,1
2023-11-07,1900-01-01 19:07:28,4,290,2791,443,0,3,22,486,580,9,13,18,10,0,0,1
2023-11-07,1900-01-01 19:07:29,9,141,12755,443,0,2,101,448,1322,9,8,15,3,0,0,1
2023-11-07,1900-01-01 19:07:29,4,290,2792,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:29,9,119,12753,443,0,2,102,458,889,8,6,21,1,0,0,1
2023-11-07,1900-01-01 19:07:30,4,290,2793,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:30,4,290,2794,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:31,4,290,2795,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:32,4,290,2796,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:33,4,290,2797,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:33,6,335,53325,443,0,2,81,1715,2540,14,10,27,8,0,0,1
2023-11-07,1900-01-01 19:07:34,4,290,2798,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:35,4,290,2799,443,0,3,22,1532,780,9,12,18,10,0,0,1
2023-11-07,1900-01-01 19:07:36,4,290,2800,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:07:42,4,13,2802,443,0,2,22,345,1763,6,6,18,10,0,0,1
2023-11-07,1900-01-01 19:07:43,7,67,56299,443,0,1,6,537,7609,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:07:45,7,67,56300,443,0,1,6,577,7610,12,14,13,3,0,0,0
2023-11-07,1900-01-01 19:07:45,7,67,56301,443,0,1,6,537,7843,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:07:46,6,248,53241,443,0,3,605,2258,4314,30,25,18,10,0,0,1
2023-11-07,1900-01-01 19:07:47,4,13,2801,443,0,1,27,505,1520,10,6,18,10,0,0,1
2023-11-07,1900-01-01 19:07:48,4,241,2786,443,0,3,137,2896,2165,11,10,25,1,0,0,1
2023-11-07,1900-01-01 19:07:52,4,260,2767,443,0,2,242,3022,4781,18,23,18,10,0,0,1
2023-11-07,1900-01-01 19:07:58,7,67,56303,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:07:58,7,67,56304,443,0,1,6,537,7611,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:07:58,7,67,56305,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:01,7,67,56306,443,0,1,10,577,7841,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:02,7,67,56307,443,0,1,6,537,7841,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:04,7,67,56308,443,0,1,6,577,7843,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:06,7,132,56276,443,0,2,242,3051,4203,25,27,43,9,0,0,1
2023-11-07,1900-01-01 19:08:07,7,67,56309,443,0,1,6,537,7610,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:08:08,4,13,2803,443,0,1,15,505,1794,10,6,18,10,0,0,1
2023-11-07,1900-01-01 19:08:10,7,67,56310,443,0,1,6,577,7841,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:15,6,358,53309,443,0,2,242,1165,2446,17,20,4,4,0,0,1
2023-11-07,1900-01-01 19:08:20,7,67,56311,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:26,7,67,56312,443,0,1,6,577,7841,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:27,4,13,2810,443,0,1,11,424,1783,10,7,18,10,0,0,1
2023-11-07,1900-01-01 19:08:27,7,67,56314,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:28,7,67,56315,443,0,1,6,537,7610,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:08:28,6,82,53285,443,0,2,470,25962,35907,123,154,43,9,0,0,1
2023-11-07,1900-01-01 19:08:29,4,175,65201,5938,1,0,180,64,84,1,1,37,6,0,0,1
2023-11-07,1900-01-01 19:08:29,4,278,65201,5938,1,0,180,64,84,1,1,37,6,0,0,1
2023-11-07,1900-01-01 19:08:29,4,173,65201,5938,1,0,180,64,84,1,1,37,6,0,0,1
2023-11-07,1900-01-01 19:08:29,6,17,53343,80,0,2,62,212,761,5,4,16,10,0,0,1
2023-11-07,1900-01-01 19:08:29,4,176,65201,5938,1,0,180,64,84,1,1,37,6,0,0,1
2023-11-07,1900-01-01 19:08:29,4,172,65201,5938,1,0,180,64,84,1,1,37,6,0,0,1
2023-11-07,1900-01-01 19:08:29,6,205,53342,80,0,2,62,212,1178,5,4,16,10,0,0,1
2023-11-07,1900-01-01 19:08:30,6,365,53344,80,0,2,62,578,826,7,7,30,8,0,0,1
2023-11-07,1900-01-01 19:08:34,9,128,12641,443,0,2,287,3158,5616,34,41,7,3,0,0,1
2023-11-07,1900-01-01 19:08:40,7,67,56316,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:43,10,288,61500,443,0,2,3,403,2302,9,11,18,10,0,0,1
2023-11-07,1900-01-01 19:08:44,9,73,12689,443,0,2,242,1440,2643,17,21,15,3,0,0,1
2023-11-07,1900-01-01 19:08:51,10,297,61501,443,0,2,2,465,4038,9,10,36,9,0,0,0
2023-11-07,1900-01-01 19:08:53,7,67,56318,443,0,1,6,537,7610,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:08:53,7,67,56317,443,0,1,6,537,7841,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:08:55,6,344,53333,80,0,3,133,710,752,7,9,17,10,0,0,1
2023-11-07,1900-01-01 19:08:56,6,111,53349,80,0,1,7,212,8576,5,9,16,10,0,0,0
2023-11-07,1900-01-01 19:09:06,6,132,53351,443,0,2,4,522,7502,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:09,7,67,56320,443,0,1,6,537,7610,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:09:09,6,338,53195,443,0,2,1040,2097,6136,38,36,18,10,0,0,1
2023-11-07,1900-01-01 19:09:09,7,76,56298,443,0,2,102,448,1322,9,8,6,3,0,0,1
2023-11-07,1900-01-01 19:09:10,9,232,12834,443,0,3,130,412,2104,9,8,25,1,0,0,1
2023-11-07,1900-01-01 19:09:12,9,252,12828,443,0,3,134,412,1502,9,10,25,1,0,0,1
2023-11-07,1900-01-01 19:09:13,7,132,56324,443,0,1,5,286,1613,5,6,3,6,0,0,1
2023-11-07,1900-01-01 19:09:16,6,132,53352,443,0,2,4,482,7504,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:20,4,255,2805,443,0,2,81,437,2081,9,9,41,3,0,0,1
2023-11-07,1900-01-01 19:09:21,10,49,61503,443,0,2,3,419,4423,10,10,31,4,0,0,0
2023-11-07,1900-01-01 19:09:22,10,49,61506,443,0,2,2,339,4262,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:09:22,10,49,61508,443,0,2,2,339,4266,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:09:22,10,49,61507,443,0,2,2,339,4341,8,8,31,4,0,0,0
2023-11-07,1900-01-01 19:09:22,10,303,61504,443,0,2,3,419,4428,10,10,31,4,0,0,0
2023-11-07,1900-01-01 19:09:22,10,160,61505,443,0,3,3,619,4467,15,11,31,4,0,0,0
2023-11-07,1900-01-01 19:09:23,6,335,53345,443,0,2,110,1564,2581,14,11,27,8,0,0,1
2023-11-07,1900-01-01 19:09:23,10,49,61510,443,0,3,3,699,4461,17,11,31,4,0,0,0
2023-11-07,1900-01-01 19:09:25,10,49,61512,443,0,2,2,339,4262,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:09:28,4,290,2820,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:29,10,49,61511,443,0,1,6,419,4301,10,7,31,4,0,0,0
2023-11-07,1900-01-01 19:09:29,4,290,2821,443,0,3,22,1532,780,9,12,18,10,0,0,1
2023-11-07,1900-01-01 19:09:30,4,290,2822,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:30,4,290,2823,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:32,4,290,2824,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:32,4,290,2825,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:32,9,109,12734,443,0,2,242,1423,7031,18,20,43,9,0,0,1
2023-11-07,1900-01-01 19:09:33,4,290,2826,443,0,3,22,1532,780,9,12,18,10,0,0,1
2023-11-07,1900-01-01 19:09:33,7,67,56325,443,0,1,6,537,7841,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:34,6,132,53353,443,0,2,4,522,7504,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:34,6,132,53354,443,0,2,4,722,7502,17,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:34,4,290,2827,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:35,6,132,53355,443,0,2,4,722,7503,17,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:35,4,290,2828,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:36,4,290,2829,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:09:37,9,360,46718,6881,1,0,56,134,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:09:38,9,346,46718,6881,1,0,56,134,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:09:38,9,199,12861,443,0,2,124,3307,3904,19,23,25,1,0,0,1
2023-11-07,1900-01-01 19:09:40,7,67,56326,443,0,1,6,577,7843,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:41,4,290,2762,443,0,1,367,27807,143231,658,709,18,10,0,0,1
2023-11-07,1900-01-01 19:09:42,4,290,2763,443,0,1,367,3301,3438,46,44,18,10,0,0,1
2023-11-07,1900-01-01 19:09:42,6,132,53357,443,0,2,4,522,7502,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:43,6,132,53358,443,0,2,4,482,7502,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:44,9,252,12860,443,0,3,131,452,3680,10,14,25,1,0,0,1
2023-11-07,1900-01-01 19:09:46,6,228,53356,443,0,1,11,2398,1336,12,7,25,1,0,0,1
2023-11-07,1900-01-01 19:09:47,7,141,56281,443,0,2,242,2956,12077,23,27,15,3,0,0,1
2023-11-07,1900-01-01 19:09:48,4,13,2830,443,0,1,29,412,1834,10,7,18,10,0,0,1
2023-11-07,1900-01-01 19:09:49,7,69,56284,443,0,2,242,2402,10731,28,24,15,3,0,0,1
2023-11-07,1900-01-01 19:09:50,9,141,12754,443,0,2,242,6216,3739,21,25,15,3,0,0,1
2023-11-07,1900-01-01 19:09:52,6,107,53359,443,0,1,6,545,7859,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:09:55,10,226,61502,443,0,1,66,502,2419,11,8,25,1,0,0,1
2023-11-07,1900-01-01 19:09:56,4,255,2804,443,0,2,117,1152,3130,14,14,41,3,0,0,1
2023-11-07,1900-01-01 19:09:57,9,361,46718,6969,1,0,45,137,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:09:57,4,363,2806,443,0,2,118,1029,6790,14,16,42,3,0,0,1
2023-11-07,1900-01-01 19:09:57,8,78,63938,443,0,2,242,1648,2365,20,19,3,6,0,0,1
2023-11-07,1900-01-01 19:10:00,9,358,56233,443,1,0,181,4013,7105,5,10,29,4,0,0,0
2023-11-07,1900-01-01 19:10:03,10,114,61515,443,0,1,5,132,197,3,2,39,1,0,0,1
2023-11-07,1900-01-01 19:10:04,10,114,61516,80,0,1,6,492,902,5,7,39,1,0,0,1
2023-11-07,1900-01-01 19:10:05,10,116,61517,80,0,1,6,792,982,8,7,39,1,0,0,1
2023-11-07,1900-01-01 19:10:07,7,67,56328,443,0,1,6,577,7842,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:10:16,4,197,2769,443,0,2,347,23921,17262,97,121,25,1,0,0,1
2023-11-07,1900-01-01 19:10:17,10,116,61514,443,0,2,18,3882,52025,33,52,39,1,0,0,1
2023-11-07,1900-01-01 19:10:20,6,107,53369,443,0,1,6,585,7857,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:10:26,6,98,53299,443,0,2,511,8783,5505,59,62,15,3,0,0,1
2023-11-07,1900-01-01 19:10:26,9,72,12918,443,0,2,105,448,1338,9,8,7,3,0,0,1
2023-11-07,1900-01-01 19:10:27,9,361,46718,6969,1,0,30,137,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:10:27,9,50,13002,443,0,2,2,419,4314,10,7,31,4,0,0,0
2023-11-07,1900-01-01 19:10:27,9,50,13003,443,0,2,2,299,4314,7,7,31,4,0,0,0
2023-11-07,1900-01-01 19:10:27,9,50,13005,443,0,2,2,419,4313,10,7,31,4,0,0,0
2023-11-07,1900-01-01 19:10:28,9,50,13001,443,0,3,3,619,4474,15,11,31,4,0,0,0
2023-11-07,1900-01-01 19:10:28,6,339,53365,443,0,1,16,528,2249,12,6,18,10,0,0,1
2023-11-07,1900-01-01 19:10:30,4,4,1937,443,0,2,5904,29778,89647,481,481,18,10,0,0,1
2023-11-07,1900-01-01 19:10:31,4,8,1932,443,0,2,5954,974396,212642,1756,2036,18,10,0,0,1
2023-11-07,1900-01-01 19:10:33,9,120,46718,1337,1,0,45,44,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:10:35,9,358,54329,443,1,0,181,4013,7101,5,10,29,4,0,0,0
2023-11-07,1900-01-01 19:10:43,7,69,56285,443,0,3,296,572,2211,12,16,15,3,0,0,1
2023-11-07,1900-01-01 19:10:45,4,123,2728,443,0,2,607,17707,6931,44,46,18,10,0,0,1
2023-11-07,1900-01-01 19:10:48,4,13,2831,443,0,1,27,505,1794,10,6,18,10,0,0,1
2023-11-07,1900-01-01 19:10:54,6,247,53346,443,0,3,193,1665,2327,15,15,18,10,0,0,1
2023-11-07,1900-01-01 19:10:56,6,102,53336,443,0,2,242,1373,2922,19,20,15,3,0,0,1
2023-11-07,1900-01-01 19:10:59,6,30,53360,443,0,3,71,212,2197,5,8,22,1,0,0,1
2023-11-07,1900-01-01 19:11:02,9,358,12829,443,0,2,242,1485,3490,20,23,4,4,0,0,1
2023-11-07,1900-01-01 19:11:02,10,317,61525,443,0,3,7,416,1214,7,11,18,10,0,0,1
2023-11-07,1900-01-01 19:11:03,10,317,61530,443,0,3,7,416,990,7,10,18,10,0,0,1
2023-11-07,1900-01-01 19:11:03,4,194,2835,443,0,1,5,172,4285,4,6,25,1,0,0,1
2023-11-07,1900-01-01 19:11:03,4,194,2837,443,0,1,5,172,92,4,2,25,1,0,0,1
2023-11-07,1900-01-01 19:11:04,9,120,46718,1337,1,0,30,44,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:11:06,9,1,46718,6969,1,0,121,44,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:11:06,7,31,56343,443,0,2,2,481,2304,7,11,18,10,0,0,1
2023-11-07,1900-01-01 19:11:13,9,86,12844,443,0,2,243,1609,2450,19,18,3,6,0,0,1
2023-11-07,1900-01-01 19:11:14,6,142,53337,443,0,2,242,3102,10247,24,27,43,9,0,0,1
2023-11-07,1900-01-01 19:11:17,6,357,53196,443,0,2,1147,14130,29043,157,197,4,4,0,0,1
2023-11-07,1900-01-01 19:11:19,6,107,53370,443,0,1,6,585,7858,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:28,4,290,2838,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:29,4,290,2839,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:30,4,290,2840,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:30,7,132,56344,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:30,7,76,56297,443,0,2,242,4121,5577,25,26,6,3,0,0,1
2023-11-07,1900-01-01 19:11:31,4,290,2841,443,0,3,22,1572,780,10,12,18,10,0,0,1
2023-11-07,1900-01-01 19:11:32,4,290,2842,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:32,4,290,2843,443,0,3,22,1532,780,9,12,18,10,0,0,1
2023-11-07,1900-01-01 19:11:33,7,132,56345,443,0,1,9,537,7843,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:33,4,290,2844,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:34,7,132,56346,443,0,1,6,577,7801,12,17,13,3,0,0,0
2023-11-07,1900-01-01 19:11:34,6,339,53363,80,0,3,83,493,1166,12,10,17,10,0,0,1
2023-11-07,1900-01-01 19:11:34,4,290,2845,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:35,6,119,53361,443,0,2,102,332,889,8,6,21,1,0,0,1
2023-11-07,1900-01-01 19:11:35,6,119,53362,443,0,2,102,332,889,8,6,21,1,0,0,1
2023-11-07,1900-01-01 19:11:35,4,290,2846,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:36,9,314,46718,6969,1,0,74,44,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:11:36,4,290,2847,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:37,9,358,12826,443,0,2,278,2359,5506,29,39,4,4,0,0,1
2023-11-07,1900-01-01 19:11:37,4,290,2848,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:37,4,290,2849,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:11:40,7,132,56347,443,0,1,6,577,7842,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:40,7,132,56348,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:47,6,107,53371,443,0,1,6,545,7858,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:47,9,270,12971,443,0,2,126,448,1314,9,8,15,3,0,0,1
2023-11-07,1900-01-01 19:11:49,7,132,56350,443,0,1,6,537,7609,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:11:49,4,13,2850,443,0,1,27,412,1794,10,6,18,10,0,0,1
2023-11-07,1900-01-01 19:11:49,6,107,53372,443,0,1,6,585,7859,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:11:51,6,107,53373,443,0,1,6,545,7858,11,18,13,3,0,0,0
